img_id,img_url,img_path
eb702dcf-dd82-4b29-b84f-318d18f645ec,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_85.312.jpg,images\1618219819_85.312.jpg
426f7fc9-3599-41a4-94e0-b229300bdb78,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_85.508-1-min.jpg,images\1618219819_85.508-1-min.jpg
9aefbf7a-fb88-4aed-b1bd-5abbed027328,https://nationalmuseumindia.gov.in/uploads/collections/1618219819_87.503-1-min.JPG,images\1618219819_87.503-1-min.JPG
abfaf93d-00e5-43d9-9599-2efb0f2b65a6,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Ashtasahasrika%20%20Prajnaparamita%20-70-3-3%20%282%29.jpg,images\1617864665_Ashtasahasrika%20%20Prajnaparamita%20-70-3-3%20%282%29.jpg
51031e3e-41e9-4adf-a9da-2bd9351f4e90,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Babur%20crossing%20river%20boats%20of%20bridge%28Babur%20Nama%2950-336%20%282%29.jpg,images\1617864665_Babur%20crossing%20river%20boats%20of%20bridge%28Babur%20Nama%2950-336%20%282%29.jpg
c22eebbc-a828-4bd3-bf07-8d12af4343f1,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Babur%20observing%20construction%20of%20%20water%20%20reservoir%28Babur%20Nama%2950-336%20%282%29.jpg,images\1617864665_Babur%20observing%20construction%20of%20%20water%20%20reservoir%28Babur%20Nama%2950-336%20%282%29.jpg
c5cb2753-6b31-43bc-9398-8f869a375d2a,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_BalBodhini-76-726-1.jpg,images\1617864665_BalBodhini-76-726-1.jpg
6ac36966-856f-4125-b9e5-84315a3c35e7,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Farman%20of%20J%20M%20Akbar%2092-28%20%282%29.jpg,images\1617864665_Farman%20of%20J%20M%20Akbar%2092-28%20%282%29.jpg
2f6ca9a5-b20c-40c5-9cb6-bf99fc6ffadd,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Gita%20Govinda%2057-46.jpg,images\1617864665_Gita%20Govinda%2057-46.jpg
444727b6-ab73-446f-8d54-52e81de662f2,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Jain%20Kalpasutra%2048-29.jpg,images\1617864665_Jain%20Kalpasutra%2048-29.jpg
eac58c3f-ba3d-42e8-b6f7-21959e97dc54,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Kammavacha51-20.jpg,images\1617864665_Kammavacha51-20.jpg
67d3bea8-5f58-4fd4-8e90-03bda1667a26,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Rasamanjari-%2061-1185%20%282%29.JPG,images\1617864665_Rasamanjari-%2061-1185%20%282%29.JPG
e87b9758-e41a-4ac9-b9f1-5379d62fa083,https://nationalmuseumindia.gov.in/uploads/collections/1617864665_Specimen%20of%20Calligraphy%20%2055-53-1.jpg,images\1617864665_Specimen%20of%20Calligraphy%20%2055-53-1.jpg
f74ee561-d3d8-4801-bae3-0fa1c14ecebf,https://nationalmuseumindia.gov.in/uploads/collections/1618477918_55-36-77.jpg,images\1618477918_55-36-77.jpg
7d8deab8-a6db-40b1-86b1-99338b3eb812,https://nationalmuseumindia.gov.in/uploads/collections/1618477827_60.1165-3546.png,images\1618477827_60.1165-3546.png
a1046c84-ed04-42e0-87c5-eedf9e63a4dd,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_47.51.jpg,images\1618464045_47.51.jpg
1f64b090-b6e8-46eb-ad68-5f4fa668875c,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_53-23-2999.jpg,images\1618464045_53-23-2999.jpg
fc5944d8-f4ab-4625-b9cb-26bc2723080b,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_54-14-91.jpg,images\1618464045_54-14-91.jpg
47da6e8f-36e2-43c5-beed-8f0b619fa2aa,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_55-36-92.jpg,images\1618464045_55-36-92.jpg
d91f2767-a27b-4f0a-b1f3-0c9d8de998c9,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_55-36-132.jpg,images\1618464045_55-36-132.jpg
2239cfbb-cffa-41ff-a0d2-e792f2d5441e,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_56.9-6.jpg,images\1618464045_56.9-6.jpg
56bc2d17-4051-4893-969b-c44675f72e06,https://nationalmuseumindia.gov.in/uploads/collections/1618464045_59.152-321.jpg,images\1618464045_59.152-321.jpg
4742d18a-ac15-468c-a3fb-88c0ab34d204,https://nationalmuseumindia.gov.in/uploads/collections/1617862940_Sri%20Rama%2863-1043%29.JPG,images\1617862940_Sri%20Rama%2863-1043%29.JPG
f977a132-7188-4064-88dd-ca012ab5cf45,https://nationalmuseumindia.gov.in/uploads/collections/1617861736_49-19-119.JPG,images\1617861736_49-19-119.JPG
520345d1-064b-4c42-9cc0-6351175993ea,https://nationalmuseumindia.gov.in/uploads/collections/1617861736_56-59-57.JPG,images\1617861736_56-59-57.JPG
96b4d16e-bf61-40c0-8588-5869726b94dd,https://nationalmuseumindia.gov.in/uploads/collections/1617860281_48-8-23.jpg,images\1617860281_48-8-23.jpg
405f7c50-4fb1-42fb-afbe-410cf6d4fd4b,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_5-min.JPG,images\1596779087_5-min.JPG
3e57992a-e322-418f-87fb-cd8e66beed31,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_58.58-38.jpg,images\1596779087_58.58-38.jpg
ddf4b20b-f923-4d5a-ae7a-9d3c12786c77,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_63.1590-min.jpg,images\1596779087_63.1590-min.jpg
0aaa613f-19b8-4dfd-a642-797e3da0556c,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_63-1169-min.jpg,images\1596779087_63-1169-min.jpg
ca44ecb7-716f-4efd-a7f5-8351d5bec22f,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_76.628.jpg,images\1596779087_76.628.jpg
d830ec59-92b9-42b9-83c3-b68cda83bc7b,https://nationalmuseumindia.gov.in/uploads/collections/1596779087_88.6.JPG,images\1596779087_88.6.JPG
cba52d5a-c4d1-4061-b74c-af422a9c2d1f,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_57.10-6%20%282%29.JPG,images\1644486857_57.10-6%20%282%29.JPG
a1faeab8-35f0-471f-b3a1-419479a5b3f4,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_57-10-9.jpg,images\1644486857_57-10-9.jpg
c6a910c1-c3af-4d07-9f54-402a30d57b5b,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_63.784%20%282%29.JPG,images\1644486857_63.784%20%282%29.JPG
0cb49c60-e3f8-409d-bc67-8bbeebcf7d32,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_82.259.JPG,images\1644486857_82.259.JPG
13f535cc-118b-4cdc-a0bb-cd9b4756cad2,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_87.1167-1.JPG,images\1644486857_87.1167-1.JPG
8139785b-360d-4624-b528-703d4578a090,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_87.1168.JPG,images\1644486857_87.1168.JPG
3ca6cd65-7812-4e5e-8c6d-1ebe6cb29c86,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_89.1015.JPG,images\1644486857_89.1015.JPG
3659fd6d-cc15-4d0e-ab0e-a6249f3be9dc,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_89.1030%20edit.jpg,images\1644486857_89.1030%20edit.jpg
0ceb6a78-22da-48c9-b8ba-64e99b95326d,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_90.940.JPG,images\1644486857_90.940.JPG
c8d29dd3-6cf1-43b3-9fea-5be0f0c1497d,https://nationalmuseumindia.gov.in/uploads/collections/1644486857_90-752.jpg,images\1644486857_90-752.jpg
7b24d844-de4e-4b77-8ae7-52b36fc44cb6,https://nationalmuseumindia.gov.in/uploads/collections/1618480300_Ast.iii.4.010.a.%20edited.jpg,images\1618480300_Ast.iii.4.010.a.%20edited.jpg
0a3068e5-19ff-4b98-a866-4ba294b79996,https://nationalmuseumindia.gov.in/uploads/collections/1618480300_Ch.0010%20%282003-10-707%29.jpg,images\1618480300_Ch.0010%20%282003-10-707%29.jpg
f9dd2b72-53fc-4bcc-aea9-b64476fd237a,https://nationalmuseumindia.gov.in/uploads/collections/1618480300_Har.029%20Edited.jpg,images\1618480300_Har.029%20Edited.jpg
d85c56a8-d25e-4550-b8a5-839b22276dc3,https://nationalmuseumindia.gov.in/uploads/collections/1618480300_Hu.02.200371927%20edited.jpg,images\1618480300_Hu.02.200371927%20edited.jpg
fc6909c8-ec67-4ee5-b1a7-755f86c8dffa,https://nationalmuseumindia.gov.in/uploads/collections/1618480300_M.iii.003%2099144.jpg,images\1618480300_M.iii.003%2099144.jpg
9e6f15c8-aeb0-4b1b-9009-2e70d72c6588,https://nationalmuseumindia.gov.in/uploads/collections/1618480301_Yo.01%20Edited.jpg,images\1618480301_Yo.01%20Edited.jpg
3bbba2e4-8a3a-471f-ae86-518df8bd99ef,https://nationalmuseumindia.gov.in/uploads/collections/1597830509_Ch.024%20%2899719%29.JPG,images\1597830509_Ch.024%20%2899719%29.JPG
c46a6a66-70d1-4854-9755-6df42692ae88,https://nationalmuseumindia.gov.in/uploads/collections/1597830509_Ch.00281%2820001032%29.jpg,images\1597830509_Ch.00281%2820001032%29.jpg
0d666e43-f478-4e1e-9981-10d7f1ed08ee,https://nationalmuseumindia.gov.in/uploads/collections/1597830509_Ch.i.001%20%2899174%29.jpg,images\1597830509_Ch.i.001%20%2899174%29.jpg
0e580902-66b4-4a76-b5a1-7cbe50a7283f,https://nationalmuseumindia.gov.in/uploads/collections/1597830509_Ch.xxviii.006%28991795%29.jpg,images\1597830509_Ch.xxviii.006%28991795%29.jpg
9b0cc338-5f5f-40d1-8f43-6649bd364d5f,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67.565-min.jpg,images\1616483152_67.565-min.jpg
8b76b9c1-9a8e-4610-aef0-941116f5f1f3,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-246-min.jpg,images\1616483152_67-246-min.jpg
930ad915-266a-4c91-ba00-4b179a6ea729,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-289-min.jpg,images\1616483152_67-289-min.jpg
139cbc9a-3461-4c76-87cd-21d484ee7e59,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-420-min.jpg,images\1616483152_67-420-min.jpg
19d28fad-7862-44f5-a2bd-8a51249d93b4,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-421-min.jpg,images\1616483152_67-421-min.jpg
020927be-1b87-43e4-af2a-2cb90ab96998,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-435-min.jpg,images\1616483152_67-435-min.jpg
2051d420-e8cd-4e29-a03a-1b6df2e10e60,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-467-min.jpg,images\1616483152_67-467-min.jpg
4eee1dc7-8640-4e8a-87d7-ac5236e61048,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_67-572-min.jpg,images\1616483152_67-572-min.jpg
dbd45896-70b9-45b6-8080-61886dd53b03,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_71-471-min.JPEG,images\1616483152_71-471-min.JPEG
327320d7-883b-4777-8d5e-17c1ab9973db,https://nationalmuseumindia.gov.in/uploads/collections/1616483152_L-670-min.jpg,images\1616483152_L-670-min.jpg
